,Program Name,Course Code,CRN,Subject,Course Number,Section,Title,Type,Day(s),Time,Room,Instructor(s)
668,Geography,GEOG 1180,20418,GEOG,1180,002,"Phys Geog:Meteor,Climat, & Bio",Lecture,---R---,0930-1020,A231,S.M. Talha Qadri
669,Geography,GEOG 1180,20418,GEOG,1180,002,"Phys Geog:Meteor,Climat, & Bio",Lecture,-T-----,1030-1220,A231,S.M. Talha Qadri
670,Geography,GEOG 1180,20418,GEOG,1180,002,"Phys Geog:Meteor,Climat, & Bio",Lab,---R---,1030-1220,A231,S.M. Talha Qadri
671,Geography,GEOG 1190,20420,GEOG,1190,001,Phys Geog:Geomorphology,Lecture,--W----,1130-1220,A229,David Sasse
672,Geography,GEOG 1190,20420,GEOG,1190,001,Phys Geog:Geomorphology,Lecture,M------,1230-1420,A229,David Sasse
673,Geography,GEOG 1190,20420,GEOG,1190,001,Phys Geog:Geomorphology,Lab,--W----,1230-1420,A229,David Sasse
674,Geography,GEOG 1190,20681,GEOG,1190,002,Phys Geog:Geomorphology,Lecture,M------,1430-1720,A229,David Sasse
675,Geography,GEOG 1190,20681,GEOG,1190,002,Phys Geog:Geomorphology,Lab,--W----,1430-1620,A229,David Sasse
676,Geology,GEOL 1107,20426,GEOL,1107,001,Dynamic Earth,Lecture,-T-----,1430-1620,A229,David Sasse
677,Geology,GEOL 1107,20426,GEOL,1107,001,Dynamic Earth,Lecture,---R---,1430-1520,A229,David Sasse
678,Geology,GEOL 1107,20426,GEOL,1107,001,Dynamic Earth,Lecture,---R---,1530-1720,A229,David Sasse
679,Health Sciences,HSCI 1120,20119,HSCI,1120,001,Intr Human Sexulty & Behaviour,Lecture,M-W----,1430-1620,A255,Haley Montgomery
680,Health Sciences,HSCI 1120,20124,HSCI,1120,002,Intr Human Sexulty & Behaviour,Lecture,-T-R---,0830-1020,A218,Lauren Harrison
681,Health Sciences,HSCI 1130,20128,HSCI,1130,001,Foundations of Health Science,Lecture,M-W----,1030-1220,A255,Haley Montgomery
682,Health Sciences,HSCI 1130,20137,HSCI,1130,002,Foundations of Health Science,Lecture,M-W----,1430-1620,A218,Lauren Harrison
683,Health Sciences,HSCI 1130,20754,HSCI,1130,003,Foundations of Health Science,Lecture,-T-R---,1430-1620,A215,Haley Montgomery
684,Health Sciences,HSCI 1180,20147,HSCI,1180,001,Drugs and Society,Lecture,-T-R---,1230-1420,A218,Lauren Harrison
685,Health Sciences,HSCI 2215,20148,HSCI,2215,001,Perspctivs on Disblty & Injury,Lecture,-T-R---,1030-1220,A255,Haley Montgomery
686,Health Sciences,HSCI 2216,20149,HSCI,2216,001,Eco.Dtrmnnts Hmn Grth Dvlpmnt,Lecture,M-W----,1030-1220,A215,Lauren Harrison
687,History,HIST 1116,20256,HIST,1116,001,Colonies & Conflict:CA to 1867,Lecture,-T-R---,1030-1220,A136A,David Borys
688,History,HIST 1120,20266,HIST,1120,W01,War and Society,WWW,-------,-,WWW,David Borys
689,History,HIST 1130,20267,HIST,1130,AW1,Modern World: 1945 to Present,WWW,-------,-,WWW,Craig Keating
690,History,HIST 1155,20271,HIST,1155,001,History of Family in Wstrn Soc,Lecture,-T-R---,0830-1020,B248,Anne Toews
691,History,HIST 2247,20279,HIST,2247,W01,Canada and the World Wars,WWW,-------,-,WWW,David Borys
692,History,HIST 2255,20281,HIST,2255,A01,Hstry of Modern Middle East,Lecture,M-W----,0930-1220,A136A,Craig Keating
693,History,HIST 2261,20282,HIST,2261,W01,Disease in World History,WWW,-------,-,WWW,Anne Toews
694,International Business,INTB 2000,20784,INTB,2000,AF1,Intro to Intrntnl Business,Lecture,MTWRF--,1000-1150,A210,Kenneth Wong
695,International Business,INTB 2000,20784,INTB,2000,AF1,Intro to Intrntnl Business,Field School,-------,-,OFFC,Kenneth Wong
696,International Business,INTB 2000,20475,INTB,2000,AFI,Intro to Intrntnl Business,Field School,-------,-,OFFC,Kenneth Wong
697,International Business,INTB 3100,20479,INTB,3100,M01,Mngmnt Issues in Intrntl Busns,Lecture,---R---,1830-2020,A218,Nathan Chong
698,International Business,INTB 3100,20479,INTB,3100,M01,Mngmnt Issues in Intrntl Busns,Lecture,-------,-,WWW,Nathan Chong
699,International Business,INTB 4195,20476,INTB,4195,AF1,Spec Topics in Intl Business,Lecture,MTWRF--,1000-1150,A210,Kenneth Wong
700,International Business,INTB 4195,20476,INTB,4195,AF1,Spec Topics in Intl Business,Field School,-------,-,OFFC,Kenneth Wong
701,International Business,INTB 4800,20480,INTB,4800,001,International Marketing,Lecture,M-W----,1030-1220,B253,Luciano Lotario Greggio
702,International Business,INTB 4810,20481,INTB,4810,M01,Mngmt Issues in Intl Business,Lecture,---R---,1230-1420,B252,Jason Wong
703,International Business,INTB 4810,20481,INTB,4810,M01,Mngmt Issues in Intl Business,Lecture,-------,-,WWW,Jason Wong
704,International Business,INTB 4810,20482,INTB,4810,M02,Mngmt Issues in Intl Business,Lecture,M------,1030-1220,B023,Jason Wong
705,International Business,INTB 4810,20482,INTB,4810,M02,Mngmt Issues in Intl Business,Lecture,-------,-,WWW,Jason Wong
706,International Business,INTB 4810,20483,INTB,4810,M03,Mngmt Issues in Intl Business,Lecture,-T-----,0830-1020,B252,Luciano Lotario Greggio
707,International Business,INTB 4810,20483,INTB,4810,M03,Mngmt Issues in Intl Business,Lecture,-------,-,WWW,Luciano Lotario Greggio
708,Japanese,JAPN 1115,20375,JAPN,1115,001,Beginner's Japanese I,Lecture,-T-R---,0830-1020,A315,Choji Hayashi
709,Japanese,JAPN 1115,20376,JAPN,1115,002,Beginner's Japanese I,Lecture,-T-R---,1230-1420,A321,Choji Hayashi
710,Japanese,JAPN 1115,20377,JAPN,1115,A01,Beginner's Japanese I,Lecture,MTWR---,1030-1220,A322,Shiho Minami
711,Japanese,JAPN 1117,20380,JAPN,1117,001,Intermediate Japanese I,Lecture,M-W----,1430-1620,A315,Choji Hayashi
712,Japanese,JAPN 1215,20378,JAPN,1215,001,Beginner's Japanese II,Lecture,M-W----,1030-1220,A333,Choji Hayashi
713,Kinesiology,KINS 1100,20012,KINS,1100,001,Biodynamics Physical Activity,Lecture,M-W----,0830-1020,G103,Allyson Schweitzer
714,Kinesiology,KINS 1100,20017,KINS,1100,002,Biodynamics Physical Activity,Lecture,M-W----,1030-1220,G103,Allyson Schweitzer
715,Kinesiology,KINS 1100,20025,KINS,1100,M01,Biodynamics Physical Activity,Lecture,---R---,1230-1420,G109,Gillian Corbo
716,Kinesiology,KINS 1100,20025,KINS,1100,M01,Biodynamics Physical Activity,Lecture,-------,-,WWW,Gillian Corbo
717,Kinesiology,KINS 1100,20027,KINS,1100,M02,Biodynamics Physical Activity,Lecture,---R---,1430-1620,G109,Gillian Corbo
718,Kinesiology,KINS 1100,20027,KINS,1100,M02,Biodynamics Physical Activity,Lecture,-------,-,WWW,Gillian Corbo
719,Kinesiology,KINS 1100,20029,KINS,1100,M03,Biodynamics Physical Activity,Lecture,---R---,0830-1020,G109,Alexandra Harriss
720,Kinesiology,KINS 1100,20029,KINS,1100,M03,Biodynamics Physical Activity,Lecture,-------,-,WWW,Alexandra Harriss
721,Kinesiology,KINS 1100,20030,KINS,1100,M04,Biodynamics Physical Activity,Lecture,---R---,1030-1220,G109,Alexandra Harriss
722,Kinesiology,KINS 1100,20030,KINS,1100,M04,Biodynamics Physical Activity,Lecture,-------,-,WWW,Alexandra Harriss
723,Kinesiology,KINS 1100,20032,KINS,1100,M05,Biodynamics Physical Activity,Lecture,M------,1030-1220,G109,Charlotte Waugh
724,Kinesiology,KINS 1100,20032,KINS,1100,M05,Biodynamics Physical Activity,Lecture,-------,-,WWW,Charlotte Waugh
725,Kinesiology,KINS 1100,20033,KINS,1100,M06,Biodynamics Physical Activity,Lecture,M------,1230-1420,G109,Charlotte Waugh
726,Kinesiology,KINS 1100,20033,KINS,1100,M06,Biodynamics Physical Activity,Lecture,-------,-,WWW,Charlotte Waugh
727,Kinesiology,KINS 1100,20035,KINS,1100,M07,Biodynamics Physical Activity,Lecture,-T-----,1230-1420,G109,Bassam Nyaeme
728,Kinesiology,KINS 1100,20035,KINS,1100,M07,Biodynamics Physical Activity,Lecture,-------,-,WWW,Bassam Nyaeme
729,Kinesiology,KINS 1100,20036,KINS,1100,M08,Biodynamics Physical Activity,Lecture,-T-----,1430-1620,G109,Bassam Nyaeme
730,Kinesiology,KINS 1100,20036,KINS,1100,M08,Biodynamics Physical Activity,Lecture,-------,-,WWW,Bassam Nyaeme
731,Kinesiology,KINS 1100,20020,KINS,1100,M09,Biodynamics Physical Activity,Lecture,----F--,0830-1020,G109,Mikaela Barnes
732,Kinesiology,KINS 1100,20020,KINS,1100,M09,Biodynamics Physical Activity,Lecture,-------,-,WWW,Mikaela Barnes
733,Kinesiology,KINS 1100,20022,KINS,1100,M10,Biodynamics Physical Activity,Lecture,----F--,1030-1220,G109,Mikaela Barnes
734,Kinesiology,KINS 1100,20022,KINS,1100,M10,Biodynamics Physical Activity,Lecture,-------,-,WWW,Mikaela Barnes
735,Kinesiology,KINS 1110,20039,KINS,1110,M01,Human Anatomy,Lecture,--W----,0830-1020,G109,Karyn Kraemer
736,Kinesiology,KINS 1110,20039,KINS,1110,M01,Human Anatomy,Lecture,-------,-,WWW,Karyn Kraemer
737,Kinesiology,KINS 1110,20040,KINS,1110,M02,Human Anatomy,Lecture,--W----,1030-1220,G109,Karyn Kraemer
738,Kinesiology,KINS 1110,20040,KINS,1110,M02,Human Anatomy,Lecture,-------,-,WWW,Karyn Kraemer
739,Kinesiology,KINS 1120,20041,KINS,1120,M01,Health and Exercise Management,Lecture,M------,1030-1220,GYM,Raelene Lang
740,Kinesiology,KINS 1120,20041,KINS,1120,M01,Health and Exercise Management,Lecture,-------,-,WWW,Raelene Lang
741,Kinesiology,KINS 1120,20042,KINS,1120,M02,Health and Exercise Management,Lecture,M------,1230-1420,GYM,Raelene Lang
742,Kinesiology,KINS 1120,20042,KINS,1120,M02,Health and Exercise Management,Lecture,-------,-,WWW,Raelene Lang
743,Kinesiology,KINS 1120,20044,KINS,1120,M03,Health and Exercise Management,Lecture,--W----,0830-1020,GYM,Riley Craig
744,Kinesiology,KINS 1120,20044,KINS,1120,M03,Health and Exercise Management,Lecture,-------,-,WWW,Riley Craig
745,Kinesiology,KINS 1120,20045,KINS,1120,M04,Health and Exercise Management,Lecture,--W----,1030-1220,GYM,Riley Craig
746,Kinesiology,KINS 1120,20045,KINS,1120,M04,Health and Exercise Management,Lecture,-------,-,WWW,Riley Craig
747,Kinesiology,KINS 1120,20047,KINS,1120,M05,Health and Exercise Management,Lecture,----F--,0830-1020,GYM,Riley Craig
748,Kinesiology,KINS 1120,20047,KINS,1120,M05,Health and Exercise Management,Lecture,-------,-,WWW,Riley Craig
749,Kinesiology,KINS 1120,20048,KINS,1120,M06,Health and Exercise Management,Lecture,----F--,1030-1220,GYM,Riley Craig
750,Kinesiology,KINS 1120,20048,KINS,1120,M06,Health and Exercise Management,Lecture,-------,-,WWW,Riley Craig
751,Kinesiology,KINS 1131,20050,KINS,1131,M01,Systems Physiology I,Lecture,---R---,0830-1020,G103,Karyn Kraemer
752,Kinesiology,KINS 1131,20050,KINS,1131,M01,Systems Physiology I,Lecture,-------,-,WWW,Karyn Kraemer
753,Kinesiology,KINS 1131,20051,KINS,1131,M02,Systems Physiology I,Lecture,---R---,1030-1220,G103,Karyn Kraemer
754,Kinesiology,KINS 1131,20051,KINS,1131,M02,Systems Physiology I,Lecture,-------,-,WWW,Karyn Kraemer
755,Kinesiology,KINS 1132,20757,KINS,1132,001,Systems Physiology II,Lecture,-T-----,1030-1220,G103,Pei Wang
756,Kinesiology,KINS 1132,20757,KINS,1132,001,Systems Physiology II,Lecture,---R---,1030-1220,A218,Pei Wang
757,Kinesiology,KINS 1132,20758,KINS,1132,002,Systems Physiology II,Lecture,-T-----,1230-1420,G103,Pei Wang
758,Kinesiology,KINS 1132,20758,KINS,1132,002,Systems Physiology II,Lecture,---R---,1230-1420,G103,Pei Wang
759,Kinesiology,KINS 1150,20053,KINS,1150,001,Sport and Exercise Psychology,Lecture,----F--,1030-1220,L304,Joel Bland
760,Kinesiology,KINS 1150,20053,KINS,1150,001,Sport and Exercise Psychology,Lecture,--W----,1230-1420,T530,Joel Bland
761,Kinesiology,KINS 1150,20055,KINS,1150,002,Sport and Exercise Psychology,Lecture,--W----,1230-1420,T530,Joel Bland
762,Kinesiology,KINS 1150,20055,KINS,1150,002,Sport and Exercise Psychology,Lecture,----F--,1230-1420,L304,Joel Bland
763,Kinesiology,KINS 2030,20057,KINS,2030,001,"Physcl Actvty, Hlth, and Wlns",Lecture,---R---,1030-1220,A215,Joel Bland
764,Kinesiology,KINS 2030,20057,KINS,2030,001,"Physcl Actvty, Hlth, and Wlns",Lecture,-T-----,1230-1420,T530,Joel Bland
765,Kinesiology,KINS 2030,20059,KINS,2030,002,"Physcl Actvty, Hlth, and Wlns",Lecture,-T-----,1230-1420,T530,Joel Bland
766,Kinesiology,KINS 2030,20059,KINS,2030,002,"Physcl Actvty, Hlth, and Wlns",Lecture,---R---,1230-1420,A215,Joel Bland
767,Kinesiology,KINS 2030,20761,KINS,2030,M01,"Physcl Actvty, Hlth, and Wlns",Lecture,-T-----,1230-1420,A215,Rozmin Irani
768,Kinesiology,KINS 2030,20761,KINS,2030,M01,"Physcl Actvty, Hlth, and Wlns",Lecture,-------,-,WWW,Rozmin Irani
769,Kinesiology,KINS 2030,20762,KINS,2030,M02,"Physcl Actvty, Hlth, and Wlns",Lecture,-T-----,1430-1620,G103,Rozmin Irani
770,Kinesiology,KINS 2030,20762,KINS,2030,M02,"Physcl Actvty, Hlth, and Wlns",Lecture,-------,-,WWW,Rozmin Irani
771,Kinesiology,KINS 2030,20763,KINS,2030,M03,"Physcl Actvty, Hlth, and Wlns",Lecture,--W----,1030-1220,A218,Rozmin Irani
772,Kinesiology,KINS 2030,20763,KINS,2030,M03,"Physcl Actvty, Hlth, and Wlns",Lecture,-------,-,WWW,Rozmin Irani
773,Kinesiology,KINS 2030,20764,KINS,2030,M04,"Physcl Actvty, Hlth, and Wlns",Lecture,--W----,1230-1420,G109,Rozmin Irani
774,Kinesiology,KINS 2030,20764,KINS,2030,M04,"Physcl Actvty, Hlth, and Wlns",Lecture,-------,-,WWW,Rozmin Irani
775,Kinesiology,KINS 2030,20063,KINS,2030,M05,"Physcl Actvty, Hlth, and Wlns",Lecture,--W----,1230-1420,T001,Mikaela Barnes
776,Kinesiology,KINS 2030,20063,KINS,2030,M05,"Physcl Actvty, Hlth, and Wlns",Lecture,-------,-,WWW,Mikaela Barnes
777,Kinesiology,KINS 2030,20064,KINS,2030,M06,"Physcl Actvty, Hlth, and Wlns",Lecture,--W----,1230-1420,T001,Mikaela Barnes
778,Kinesiology,KINS 2030,20064,KINS,2030,M06,"Physcl Actvty, Hlth, and Wlns",Lecture,-------,-,WWW,Mikaela Barnes
779,Kinesiology,KINS 2205,20066,KINS,2205,M01,Rsearch Methods in Kinesiology,Lecture,---R---,1230-1420,T530,Alexandra Harriss
780,Kinesiology,KINS 2205,20066,KINS,2205,M01,Rsearch Methods in Kinesiology,Lecture,-------,-,WWW,Alexandra Harriss
781,Kinesiology,KINS 2205,20067,KINS,2205,M02,Rsearch Methods in Kinesiology,Lecture,---R---,1230-1420,T530,Alexandra Harriss
782,Kinesiology,KINS 2205,20067,KINS,2205,M02,Rsearch Methods in Kinesiology,Lecture,-------,-,WWW,Alexandra Harriss
783,Kinesiology,KINS 2206,20069,KINS,2206,001,Intro to Stats in Kinesiology,Lecture,-T-R---,1630-1820,G109,Nooshin Lary
784,Kinesiology,KINS 2215,20072,KINS,2215,001,Biomechanics I,Lecture,M------,0830-1020,T530,Brenton Flodin
785,Kinesiology,KINS 2215,20072,KINS,2215,001,Biomechanics I,Lecture,--W----,0830-1020,G109A,Brenton Flodin
786,Kinesiology,KINS 2215,20074,KINS,2215,002,Biomechanics I,Lecture,M------,0830-1020,T530,Brenton Flodin
787,Kinesiology,KINS 2215,20074,KINS,2215,002,Biomechanics I,Lecture,--W----,1030-1220,G109A,Brenton Flodin
788,Kinesiology,KINS 2235,20075,KINS,2235,001,Exercise Physiology,Lecture,-T-----,0830-1020,T530,Brenton Flodin
789,Kinesiology,KINS 2235,20075,KINS,2235,001,Exercise Physiology,Lecture,---R---,0830-1020,T515,Brenton Flodin
790,Kinesiology,KINS 2235,20076,KINS,2235,002,Exercise Physiology,Lecture,-T-----,0830-1020,T530,Brenton Flodin
791,Kinesiology,KINS 2235,20076,KINS,2235,002,Exercise Physiology,Lecture,---R---,1030-1220,T515,Brenton Flodin
792,Kinesiology,KINS 2252,20077,KINS,2252,W01,Contemporary Health Issues,WWW,-------,-,WWW,Bassam Nyaeme
793,Kinesiology,KINS 2252,20078,KINS,2252,W02,Contemporary Health Issues,WWW,-------,-,WWW,Bassam Nyaeme
794,Latin American Studies,LAMS 1100,20079,LAMS,1100,W01,Intro to Latin America,WWW,-------,-,WWW,"Ginette Dube, Dolores Gambroudes, Jessie Smith"
795,Library,LIBR 1195,20091,LIBR,1195,W01,Spc Tpc: Intro to Arch & Mus,WWW,-------,-,WWW,Guy Robertson
796,Marketing,MARK 1115,20569,MARK,1115,001,Introduction to Marketing,Lecture,M-W----,1430-1620,B153,Frederica Jensen
797,Marketing,MARK 1115,20570,MARK,1115,002,Introduction to Marketing,Lecture,M-W----,1030-1220,B153,Frederica Jensen
798,Marketing,MARK 1115,20571,MARK,1115,003,Introduction to Marketing,Lecture,-T-R---,1230-1420,B153,Jarrett Vaughan
799,Marketing,MARK 1115,20572,MARK,1115,004,Introduction to Marketing,Lecture,-T-R---,1030-1220,B153,. TBA
800,Marketing,MARK 1115,20573,MARK,1115,005,Introduction to Marketing,Lecture,---R---,1830-2120,B153,Hong Chow
801,Marketing,MARK 1115,20574,MARK,1115,006,Introduction to Marketing,Lecture,--W----,1630-1920,B155,. TBA
802,Marketing,MARK 1115,20575,MARK,1115,007,Introduction to Marketing,Lecture,----F--,0930-1220,B153,. TBA
803,Marketing,MARK 1115,20576,MARK,1115,M01,Introduction to Marketing,Lecture,-T-----,1430-1620,B153,Jarrett Vaughan
804,Marketing,MARK 1115,20576,MARK,1115,M01,Introduction to Marketing,Lecture,-------,-,WWW,Jarrett Vaughan
805,Marketing,MARK 1115,20577,MARK,1115,M02,Introduction to Marketing,Lecture,---R---,1430-1620,B153,Jarrett Vaughan
806,Marketing,MARK 1115,20577,MARK,1115,M02,Introduction to Marketing,Lecture,-------,-,WWW,Jarrett Vaughan
807,Marketing,MARK 1115,20578,MARK,1115,W01,Introduction to Marketing,WWW,-------,-,WWW,Kandey Larden
808,Marketing,MARK 1115,20579,MARK,1115,W02,Introduction to Marketing,WWW,-------,-,WWW,Jarrett Vaughan
809,Marketing,MARK 2100,20580,MARK,2100,001,Marketing Research,Lecture,M-W----,1430-1620,B155,Manish Bhatia
810,Marketing,MARK 2400,20581,MARK,2400,001,Integrated Marketing Comm,Lecture,--W----,1830-2120,B153,. TBA
811,Marketing,MARK 3150,20582,MARK,3150,M01,Social Media Strategy,Lecture,---R---,1630-1820,L104,Paul Leigh
812,Marketing,MARK 3150,20582,MARK,3150,M01,Social Media Strategy,Lecture,-------,-,WWW,Paul Leigh
813,Marketing,MARK 3200,20583,MARK,3200,M01,Consumer Behaviour,Lecture,---R---,1430-1620,B149,Manish Bhatia
814,Marketing,MARK 3200,20583,MARK,3200,M01,Consumer Behaviour,Lecture,-------,-,WWW,Manish Bhatia
815,Marketing,MARK 4800,20584,MARK,4800,001,Introduction to Marketing,Lecture,-T-R---,1430-1620,B155,Hong Chow
816,Marketing,MARK 4800,20585,MARK,4800,002,Introduction to Marketing,Lecture,M-W----,1030-1220,B155,Paul Leigh
817,Marketing,MARK 4800,20586,MARK,4800,003,Introduction to Marketing,Lecture,-T-R---,1630-1820,B153,Hong Chow
818,Marketing,MARK 4800,20587,MARK,4800,004,Introduction to Marketing,Lecture,-T-R---,1630-1820,B155,. TBA
819,Marketing,MARK 4810,20588,MARK,4810,M01,Social Media Strategy,Lecture,--W----,1430-1620,L104,Ivan Surjanovic
820,Marketing,MARK 4810,20588,MARK,4810,M01,Social Media Strategy,Lecture,-------,-,WWW,Ivan Surjanovic
821,Marketing,MARK 4810,20589,MARK,4810,M02,Social Media Strategy,Lecture,-T-----,1430-1620,L104,Paul Leigh
822,Marketing,MARK 4810,20589,MARK,4810,M02,Social Media Strategy,Lecture,-------,-,WWW,Paul Leigh
823,Marketing,MARK 4810,20590,MARK,4810,M03,Social Media Strategy,Lecture,--W----,1230-1420,L104,Ivan Surjanovic
824,Marketing,MARK 4810,20590,MARK,4810,M03,Social Media Strategy,Lecture,-------,-,WWW,Ivan Surjanovic
825,Marketing,MARK 4810,20591,MARK,4810,M04,Social Media Strategy,Lecture,-T-----,1630-1820,L104,Paul Leigh
826,Marketing,MARK 4810,20591,MARK,4810,M04,Social Media Strategy,Lecture,-------,-,WWW,Paul Leigh
827,Marketing,MARK 4820,20592,MARK,4820,001,Integrated Marketing Communctn,Lecture,M-W----,1630-1820,B153,Francisco Romero
828,Marketing,MARK 4830,20593,MARK,4830,001,Consumer Behaviour,Lecture,---R---,1630-1920,B149,Manish Bhatia
829,Marketing,MARK 4840,20594,MARK,4840,001,Marketing Research,Lecture,M-W----,1230-1420,B153,Manish Bhatia
830,Mathematics,MATH 1100,20340,MATH,1100,001,Mathematics Skill Development,Lecture,MTWR---,1030-1120,B009,Andrew Roberts
831,Mathematics,MATH 1101,20341,MATH,1101,001,Basic Algebra,Lecture,MTWR---,1130-1220,B009,Andrew Roberts
832,Mathematics,MATH 1150,20342,MATH,1150,001,Basic & Intermediate Algebra,Lecture,-T-R---,1630-1820,B009,Cory Ahn
833,Mathematics,MATH 1152,20343,MATH,1152,001,Precalculus Algebra,Lecture,M-W----,1630-1820,B009,Vijaykumar Singh
834,Mathematics,MATH 1170,20344,MATH,1170,001,Precalculus Mathematics,Lecture,-T-R---,1030-1220,B032,Bich-Ngoc Cao Nguyen
835,Mathematics,MATH 1170,20345,MATH,1170,002,Precalculus Mathematics,Lecture,-T-R---,0830-1020,A130,Sonoko Nakano
836,Mathematics,MATH 1170,20346,MATH,1170,003,Precalculus Mathematics,Lecture,M-W----,1430-1620,A136A,Vijaykumar Singh
837,Mathematics,MATH 1171,20347,MATH,1171,001,Calculus I,Lecture,-T-R---,1230-1420,B009,Jae-Hyung Jang
838,Mathematics,MATH 1171,20348,MATH,1171,002,Calculus I,Lecture,M-W----,1430-1620,B009,Andrew Roberts
839,Mathematics,MATH 1171,20350,MATH,1171,003,Calculus I,Lecture,M-W----,1630-1820,A122A,Bich-Ngoc Cao Nguyen
840,Mathematics,MATH 1173,20351,MATH,1173,001,Calculus I With Computer Expl,Lecture,M-W----,1430-1620,B009,Andrew Roberts
841,Mathematics,MATH 1174,20353,MATH,1174,001,Calculus I-Econ & Bus Applica,Lecture,M-W----,1030-1220,B032,Sonoko Nakano
842,Mathematics,MATH 1175,20354,MATH,1175,001,Calc I with App to Life Sci,Lecture,M-W----,0830-1020,B009,Vijaykumar Singh
843,Mathematics,MATH 1183,20355,MATH,1183,001,Computer Expl for Calculus I,Lab,---R---,1430-1620,A366,Andrew Roberts
844,Mathematics,MATH 1271,20359,MATH,1271,001,Calculus II,Lecture,MTWR---,1030-1120,B030,Jae-Hyung Jang
845,Mathematics,MATH 1271,20360,MATH,1271,002,Calculus II,Lecture,MTWR---,1130-1220,B030,Jae-Hyung Jang
846,Mathematics,MATH 1271,20361,MATH,1271,003,Calculus II,Lecture,-T-R---,0830-1020,B009,Bich-Ngoc Cao Nguyen
847,Mathematics,MATH 1275,20363,MATH,1275,001,Calc II with App to Life Sci,Lecture,-T-R---,1630-1820,B032,Pichmony Anhaouy
848,Mathematics,MATH 2362,20365,MATH,2362,001,Linear Algebra,Lecture,M-W----,1230-1420,B009,Jae-Hyung Jang
849,Mathematics,MATH 2371,20366,MATH,2371,001,Calculus III,Lecture,M-W----,1630-1820,B032,Pichmony Anhaouy
850,Mathematics,MATH 4800,20369,MATH,4800,001,Mathematics of Finance,Lecture,M-W----,1230-1420,B032,Sonoko Nakano
851,Mathematics,MATH 4801,20370,MATH,4801,W01,Mathematics for Data Analytics,WWW,----F--,1330-1520,WWW,Pichmony Anhaouy
852,Nursing,NURS 1209,20150,NURS,1209,M01,Health II: Health & Chronicity,Lecture,---R---,1230-1420,A284,J. Giselle Rogers
853,Nursing,NURS 1209,20150,NURS,1209,M01,Health II: Health & Chronicity,Lecture,-------,1830-2020,WWW,J. Giselle Rogers
854,Nursing,NURS 1209,20151,NURS,1209,M02,Health II: Health & Chronicity,Lecture,---R---,1030-1220,A284,J. Giselle Rogers
855,Nursing,NURS 1209,20151,NURS,1209,M02,Health II: Health & Chronicity,Lecture,-------,1830-2020,WWW,J. Giselle Rogers
856,Nursing,NURS 1260,20152,NURS,1260,M01,Nrsng Skills II: Hlth Assmt II,Lecture,---R---,0830-1220,T334,Karima Kassam
857,Nursing,NURS 1260,20152,NURS,1260,M01,Nrsng Skills II: Hlth Assmt II,Lecture,-------,1830-2020,WWW,Karima Kassam
858,Nursing,NURS 1260,20153,NURS,1260,M02,Nrsng Skills II: Hlth Assmt II,Lecture,---R---,1230-1620,T334,Melanie Forseng
859,Nursing,NURS 1260,20153,NURS,1260,M02,Nrsng Skills II: Hlth Assmt II,Lecture,-------,1830-2020,WWW,Melanie Forseng
860,Nursing,NURS 1261,20155,NURS,1261,M01,Nrsng Knldg I: Older Adults,Lecture,----F--,0830-1020,L305,Karima Kassam
861,Nursing,NURS 1261,20155,NURS,1261,M01,Nrsng Knldg I: Older Adults,Lecture,-------,1830-2020,WWW,Karima Kassam
862,Nursing,NURS 1261,20158,NURS,1261,M02,Nrsng Knldg I: Older Adults,Lecture,----F--,0830-1020,L215,Melanie Forseng
863,Nursing,NURS 1261,20158,NURS,1261,M02,Nrsng Knldg I: Older Adults,Lecture,-------,1830-2020,WWW,Melanie Forseng
864,Nursing,NURS 1263,20160,NURS,1263,001,Nrsng Prc II: Old Adlt as Clnt,Practicum,-TW----,0730-1220,OFFC,"Tina Johnston, J. Giselle Rogers, Karima Kassam, Rich Lee, Yvonne Solway"
865,Nursing,NURS 1263,20163,NURS,1263,002,Nrsng Prc II: Old Adlt as Clnt,Practicum,-TW----,0730-1220,OFFC,"Melanie Forseng, . TBA, Su Ting Bello, Thi Thu Ly Nguyen"
866,Nursing,NURS 2109,20165,NURS,2109,M01,Healing I: Adult Health & Heal,Lecture,M------,1030-1220,C509,Brooke Raphael
867,Nursing,NURS 2109,20165,NURS,2109,M01,Healing I: Adult Health & Heal,Lecture,-------,1830-2020,WWW,Brooke Raphael
868,Nursing,NURS 2109,20167,NURS,2109,M02,Healing I: Adult Health & Heal,Lecture,M------,1230-1420,C509,Brooke Raphael
869,Nursing,NURS 2109,20167,NURS,2109,M02,Healing I: Adult Health & Heal,Lecture,-------,1830-2020,WWW,Brooke Raphael
870,Nursing,NURS 2160,20169,NURS,2160,001,Nrsng Skills III: Hlng Assmt I,Lecture,----F--,1230-1620,T334,Nicole Abaya
871,Nursing,NURS 2160,20170,NURS,2160,002,Nrsng Skills III: Hlng Assmt I,Lecture,----F--,0830-1220,T334,Christian Clado
872,Nursing,NURS 2161,20171,NURS,2161,M01,Nurs Knowlge II: Nur Care Adul,Lecture,----F--,1030-1220,C509,Sharon Stunder
873,Nursing,NURS 2161,20171,NURS,2161,M01,Nurs Knowlge II: Nur Care Adul,Lecture,-------,1830-2020,WWW,Sharon Stunder
874,Nursing,NURS 2161,20172,NURS,2161,M02,Nurs Knowlge II: Nur Care Adul,Lecture,----F--,1230-1420,C509,Sarbjit Jaswal
